V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
7.130698422,-0.839803765,-1.014655197,1.858751553,0.228804581,2.053128436,0.103419485,1.346768585,2.168921331,2.710016546,0.193946111,0.446868786,3.049262627,3.484498517,1.525852032,3.03593847,1.676122885,1.176339194,3.060744207,6.885472319,4.745327772,2.720969065,-0.060391356,1.304482914,2.440215597,1.102110305,1.317916083,5.276883192,3.536433479,2.415326446,1.833098057,2.373183274,2.452570729,1.723022555,2.392228407,2.72774233,2.263361481,1.033480709,3.294193454,0.549863703,4.704096487,0.042318866,-0.063619269,4.604790196,0.225441293,3.439355871,1.123042531,0.953403302,0.443103194,1.985808529,2.841476279,0.033078001,1.259983297,2.789156835,2.085158746,0.483846756,3.348177228,1.913327249,1.668197813,3.452973813,3.341672091,-0.051852994,2.331267726,4.66167213,3.870109788,1.429342501,1.603516457,1.042948768,3.295984485,2.850011891,2.327728382,2.092841806,3.657526118,1.899973767,4.912096552,1.309601735,2.578549443,0.714844976,1.080895225,3.946265348,4.078304059,3.106407849,2.250845811,2.253211186,0.827044981,3.678336291,2.306468503,2.127154688,3.085170884,3.90150852,0.782939166,4.032181949,0.130559369,3.63522655,0.556831159,1.832928767,2.016758189,1.664853595,3.403803568,1.881919855
-0.553893205,4.291735634,2.457711764,3.644728963,2.876132819,6.161955114,3.685680314,4.684254617,4.571714192,5.524624,0.854715797,2.570630179,2.711442953,2.558399581,3.762297179,1.850652791,2.075220189,1.913922855,5.091199596,5.290695584,4.469783092,0.602589662,3.651935537,1.207754315,3.076417933,0.852930841,1.067113484,1.566001321,3.367004386,1.824816569,0.437851224,3.056424732,2.96083036,3.48937811,3.622436506,1.184005355,1.139308773,-0.349924807,3.967893454,1.81905106,3.063954833,-0.616598573,-0.139472437,5.601511105,0.702245581,2.097416885,2.77953733,2.09791543,0.351881386,1.609390164,2.864387985,1.969719039,0.724476718,0.64506238,2.355626972,-0.231080875,4.381344508,2.545066583,0.602499591,2.199049794,3.583119516,1.682884517,3.185689573,3.714428358,4.765358891,1.702525329,1.376759358,1.63917717,1.594693245,3.055642149,4.724290448,1.750280247,2.623301585,3.686497544,2.208830525,2.982131127,3.064650616,0.939342802,0.779208713,3.346685728,3.956937074,1.488626818,1.940863222,3.731277634,0.063316346,3.457384678,0.695932644,2.290267841,2.764093096,4.439254675,3.899390007,1.38714451,2.749988826,0.49404868,2.167925489,-0.898788644,4.1044758,0.170972658,4.209282977,0.23097385
5.464809338,1.030437531,0.276429905,1.66908696,0.275865763,3.118717816,0.793293179,0.445409655,2.001395883,4.184426349,0.537758427,1.028112505,2.7034068,4.03477742,3.851304461,0.149041594,1.374953787,2.501101108,3.638360544,5.152345683,5.445562243,0.687708591,0.893068702,3.071586817,2.663495607,0.786386676,2.448068165,2.383639679,0.631577278,1.817903435,0.19088604,3.602307038,1.941020956,3.190943037,2.871702448,2.474389823,2.614418982,1.17338848,3.943429306,-0.194188073,1.128595833,-0.238411453,1.09306014,5.331064157,1.93825106,3.18390303,3.709590673,2.868531409,0.922090489,3.481289579,2.858761713,3.143344658,2.389198162,3.387793429,0.288976511,-0.899494749,1.567160859,2.054406746,2.020740767,4.376071472,3.266564904,1.927850766,1.713861235,3.664951153,4.420069304,1.575617184,1.721910245,1.533510385,2.191345233,2.817498047,3.399694573,2.947883998,1.866598879,3.086575236,3.920572922,2.07936455,2.135319868,1.903537446,1.981381234,4.132639779,4.27850195,1.960912066,1.370814382,1.214261054,1.813144064,4.032374447,1.953018244,1.346400907,2.728905089,2.953635109,2.656562108,2.484942557,0.024813301,4.239662686,-0.155662716,3.279950593,2.008594914,2.037504994,3.896577788,0.87006631
7.559408912,0.68028808,-0.053278734,1.230685906,0.099196112,1.544490099,1.197018619,0.961224118,1.415138981,3.914483276,1.417235325,0.563277288,2.249454956,3.872308772,3.611993433,2.454274636,1.517492256,0.323367465,2.255954031,5.753632045,5.931651858,2.027405433,1.126595971,-0.183264003,2.308332924,1.286179875,3.633216222,3.048973679,2.998619195,1.642245997,0.751111502,2.910149073,2.98138868,1.861059845,4.214314253,1.794374965,2.273242815,1.000499326,2.891409889,-0.453580773,0.367851521,-0.331084776,1.992977962,5.958791916,0.95863939,3.430255658,2.465891858,2.620962295,1.460275679,2.410698037,3.727911213,0.823924866,0.392884231,1.712738413,0.057044501,0.580282405,3.310191976,3.100749314,0.771609042,3.368334583,2.226561508,0.905218533,2.028621279,3.347746539,4.902046496,2.889718493,2.072647887,0.590867075,1.728811088,3.008914029,4.256871301,1.810642515,2.271948492,3.264456048,2.632310877,1.15993676,1.865441862,0.884206051,1.712201621,2.649100143,5.433036191,0.973912902,1.179857145,1.779517258,1.186191128,2.839351823,1.578786862,1.60025479,2.005494124,2.785826299,2.068773183,2.853555351,1.194587383,1.751770686,2.639144158,1.281621726,1.33339585,3.657866163,2.695742798,2.056194215
2.329131656,2.737383387,2.765451392,2.192479668,1.150703964,4.617216934,3.894369125,1.802461939,2.059982101,4.557602412,3.034865429,2.047773583,1.921435765,1.062024794,3.081683306,1.178495387,1.32971266,3.616890619,4.156831061,5.025820602,5.59545452,0.973479454,0.67064932,1.416638292,4.278214305,0.982841058,1.581750404,3.488423045,2.165393198,0.757061456,1.047848232,3.34252765,4.628980532,1.600230244,1.61205276,1.613231811,1.639361253,-0.267029308,3.338104179,0.911006635,2.255320537,-0.513477143,1.62287867,5.807060086,1.187145756,4.344964676,2.207051024,2.35041836,0.693900786,3.90820214,2.050251354,1.327279174,1.331229657,1.377198264,3.876363228,1.505328605,3.310174828,0.239673394,0.370950767,3.677845226,2.670954099,0.688500123,2.258922923,4.513840038,2.729597894,0.093804851,3.142664215,1.50841252,2.102930893,2.088756186,3.379614991,1.204496434,4.149093961,2.395356445,2.576506008,2.55522976,1.334661195,0.698960558,3.627321068,3.364189662,2.729485265,1.997494207,1.920156635,3.634375618,1.328631669,4.534138641,2.761059606,1.804841548,2.390276688,4.456370994,1.86914564,3.706362763,0.486017257,2.773742248,0.930400925,-0.28784994,3.540524437,3.207356322,1.705358832,3.955374005
3.523073836,1.100900765,2.070385858,1.264984298,1.5622646,4.131745672,0.625277271,1.373958589,3.355821959,4.25754378,0.914483262,2.1690827,1.286957057,3.044873637,3.047761483,3.96357229,1.41397467,3.111844342,4.338363005,4.233901828,5.385410651,3.418647525,-0.066880657,1.977586382,2.092745395,-0.012471859,2.961591218,4.594303318,2.798751881,2.256451062,1.859941226,4.333617163,3.010626468,2.344108399,1.461060407,1.181262322,2.950711228,1.530471415,1.97704187,1.139173714,1.62680431,2.015310862,2.478863727,4.701351622,1.748905862,1.646469016,1.842763147,2.95923015,0.826303976,2.886918299,1.586319049,4.887643399,1.735814472,2.499449875,1.195927226,-1.568333966,0.536305354,3.052485079,0.85888856,4.363801651,1.72051253,1.907984689,1.572316746,3.652855225,4.327628831,2.10251268,2.199828544,1.500818818,3.287271822,1.734235682,2.872811418,2.073685089,3.808320052,2.373309159,3.477006612,1.514456026,2.350577324,2.205941892,2.176405379,3.880900607,8.044898779,0.126730561,0.139490515,2.207211344,-1.005590374,2.642028832,1.510198697,0.225833685,1.021235939,2.77655237,3.929629251,1.868493912,1.119061283,2.758089946,-0.037921083,-0.153403615,3.313239237,1.967018276,3.745913394,0.21515336
4.756180947,1.783008955,0.345031179,2.909942398,1.70836232,3.271765681,1.869928261,2.893408287,2.966191887,4.352781755,0.561700052,0.892861857,2.245922632,4.256195698,2.629357587,2.706107882,0.444298659,3.000803904,3.254559371,6.435052245,5.120602387,0.939728149,1.832847719,2.339712216,1.848831766,1.986552924,2.041289189,3.884837622,1.463682662,1.886953785,2.02162935,3.204788632,3.680624202,1.819953255,3.572525119,1.382859472,0.360394538,0.367387155,3.992543231,0.246740981,2.972692333,-0.070627748,1.116480162,6.293231238,0.327181027,2.613358312,1.837619656,2.49240989,1.577548682,3.176933676,1.657607609,0.293079286,2.610379755,3.494654956,2.365890293,0.852238898,2.29588678,0.690076903,0.918459103,3.562461855,3.790423357,1.575363679,1.794314908,4.963594596,5.362655203,1.902688083,2.232036648,1.075208963,2.860654437,1.995898155,5.937221681,1.503146656,2.679815079,1.605483002,1.764586542,1.036045417,1.000456441,-0.490117244,0.086985634,3.383316373,4.202376698,1.821524956,0.959664961,4.179959421,1.758802694,2.809073819,2.746037745,0.564523881,2.481308409,4.386525615,1.401287846,2.600952325,2.119193886,1.841940936,0.410149915,2.927901244,0.068725209,4.272706949,1.589659369,2.591468092
0.206694494,3.520300979,1.559992345,3.179013067,3.899623862,4.34249474,3.226055734,2.764769729,4.295587946,7.032050116,-0.36661454,0.603232484,3.428264387,4.64247645,4.235648235,2.154962823,1.0084933,1.867350427,2.039165033,6.543973729,6.053313121,1.056521973,1.793172675,2.083982769,2.363983122,0.693289615,2.722111545,4.868069122,0.98043843,1.851593113,-0.034913604,3.496633479,3.030933047,3.916616837,2.934716214,2.24235348,0.273387544,0.313079028,2.208090438,1.816076695,1.225465384,1.796090981,3.699965011,5.779712585,0.433484663,2.826071975,1.673484961,3.305099336,1.746553285,1.715659138,2.802123449,1.981711636,1.564381973,1.918343152,0.760650906,0.655960137,2.848368547,2.043854375,0.89959905,4.047346562,3.038613357,1.820436985,2.205982454,3.593884943,4.292444107,1.496859202,1.804196055,1.59363386,1.820561353,3.569322449,2.981663248,1.870248645,3.414461844,3.98257592,2.818323985,2.425290522,1.028993894,1.434391282,2.223706362,4.670275724,4.854387369,1.847690504,0.461087364,3.153863147,0.292402445,2.629088937,1.930205671,1.754778465,2.03098365,2.869160617,3.86660381,1.867048531,2.633205096,1.639070392,1.632727902,0.743061305,0.760708058,4.401456136,3.056528984,0.493885125
2.997993025,1.656542086,1.766855831,1.508994208,1.326860067,4.555817293,2.438344185,2.795642116,3.840765324,3.252056087,2.223042625,1.885380133,1.998571334,4.197953493,2.32696568,-0.209691805,1.84385306,2.323546751,4.651111956,5.853001275,5.538496797,3.026844735,1.445053197,1.564489055,2.679241395,0.780665167,0.338261091,4.483103919,1.9280821,2.137630576,1.533480347,4.503089491,2.479330638,1.50762712,1.995290774,2.066938707,-0.277944636,0.51566199,4.269181067,1.947591722,3.465161196,-0.377942103,2.018720965,5.135756691,-0.744124702,3.322197616,1.522568073,2.136960505,1.304763863,1.515256171,2.315658089,1.883323889,-0.385610991,1.921825085,1.100024856,0.350913344,4.459038632,2.837419566,1.173423807,2.868432613,3.559466483,1.425297426,1.463686248,2.474039955,3.526689542,2.332869574,2.437437005,1.993857047,1.524593303,2.448315191,2.993160198,1.391049256,1.820775437,2.382497622,2.761365891,2.664192835,1.695927194,0.620223627,2.121648777,4.671678552,3.815284889,2.443833145,1.323486766,3.484288649,2.157058617,2.310731849,2.341264422,1.67000013,2.269861383,3.32441385,2.675311858,1.942151759,2.083665059,2.415549634,1.560816451,-0.493359634,2.275661225,3.102358498,3.551237481,-0.055563348
2.94042036,1.961635092,0.240875711,3.176206859,1.442115556,5.107989104,1.282051213,2.729383407,3.292238104,5.252395095,1.817392275,-0.472047936,2.352506005,3.563226419,2.730391406,4.330478751,2.40259088,1.529831689,2.956134443,6.099567443,5.652896619,2.785918984,1.468797387,1.981431799,0.932134191,2.135732783,2.154794148,3.7218207,2.548405413,2.209513985,2.331951605,5.246123321,1.957791135,1.899157639,1.78314568,0.784238075,0.646381359,1.54458741,4.000209648,0.369389843,2.835352018,0.418093705,0.609608778,4.750799781,0.293876832,3.177975155,1.583842195,2.724352846,1.381211768,2.823296501,3.329506326,2.664457491,1.673729776,1.422607992,0.402002892,1.004860345,1.767595475,3.439471709,2.440558505,2.599973803,2.986148273,2.787525145,1.966893833,4.615742566,3.504413532,0.751879685,2.062474493,1.954120599,2.202464071,2.550395961,3.514610082,2.230857488,2.758081143,1.811557206,2.564824309,2.5997783,0.970841176,1.804520418,2.10537661,2.361670599,6.927358861,1.386917918,-1.112476827,0.115893195,1.163625965,3.194934731,0.266759232,0.626154485,0.845369611,2.981197801,3.183746175,0.040874896,2.429802128,0.828556792,2.763153059,1.006482434,1.719316784,3.046659181,2.154899232,1.461942898
